,id,following_n,followed_n,following_list,followed_list,commit_n,locations,type_list,bio,public_repos,public_gists
76,10055293,89,15,"[2160, 3420, 3499, 8465, 10111, 12104, 13041, 15551, 19881, 29064, 39191, 39471, 41495, 56996, 72989, 73962, 86519, 111689, 111951, 131059, 155205, 172910, 180104, 184731, 188741, 189606, 210413, 214521, 228410, 455023, 552921, 555645, 680124, 810438, 886088, 944185, 1148320, 1221346, 1227891, 1245781, 1255062, 1286807, 1301012, 1351893, 1396953, 1491856, 1529180, 1540597, 1703219, 1780142, 1800018, 1806175, 2284908, 2392750, 2936687, 2993947, 3405269, 3705391, 4339968, 4442708, 4570265, 5103178, 5168216, 5249050, 5676604, 5953871, 6366270, 6745730, 6993514, 7100722, 8654703, 8784712, 9380592, 9448125, 9800026, 10172199, 11304944, 11715165, 11733664, 12187738, 12299906, 13311608, 15008377, 15353515, 15671481, 15901038, 19260143, 26361933, 27675303]","[12187738, 9800026, 27675303, 28225404, 15671481, 1806175, 25760339, 875305, 33306544, 1510002, 26107213, 12123787, 2681007, 1294454, 19320218]",508,"Tokyo, Japan",User,🐤,87,5
77,10040982,0,2,[],"[24699461, 33078689]",426,Bekasi,User,noobie,3,0
78,10062472,2,4,"[377221, 13365126]","[8328597, 13365126, 18716040, 377221]",652,,User,,14,0
79,10075400,4,3,"[712937, 4252730, 10650915, 10650933]","[10650915, 10650933, 712937]",175,Stockholm,User,,0,0
80,1000956,3,15,"[179912, 1161927, 3279306]","[1067132, 1298580, 182906, 529384, 2514952, 1161927, 3279306, 1352881, 3195217, 25884448, 22663107, 17956350, 10801765, 15256433, 5324494]",320,Istanbul / Turkey,User,,27,3
81,10018409,0,1,[],[931940],314,,User,,2,0
82,10068618,1,1,[17594642],[18662033],108,,User,,7,0
83,10009613,1,3,[3317262],"[3317262, 13650332, 3011061]",427,,User,,11,0
84,1001841,5,5,"[406075, 684124, 1757519, 4805454, 14189744]","[406075, 684124, 1757519, 4805454, 14189744]",236,,User,,1,0
85,10047770,0,1,[],[4184524],438,,User,"Investing some time developing @reahl, while coding elsewhere to make a living. Love my family then some helicopters, road running, tennis.",4,0
86,10001206,9,7,"[5114106, 5506908, 6317695, 7541511, 7691547, 10287101, 13718689, 18384371, 35686650]","[1905080, 5114106, 12443020, 7541511, 6317695, 6383356, 35686650]",712,The Netherlands,User,,13,0
87,10031317,2,3,"[203576, 10408019]","[10408226, 203576, 663460]",121,,User,,13,0
88,1006865,0,5,[],"[232325, 1485056, 9573300, 4128909, 154732]",107,Madrid,User,,5,1
89,10055458,0,1,[],[414839],200,"Philadelphia, PA",User,,16,0
90,1006260,19,24,"[927, 1615, 300964, 412966, 582224, 717143, 823713, 1019220, 1024025, 1216453, 1398375, 1498164, 1499425, 1793746, 2414207, 2453737, 3635680, 3882350, 4960526]","[717143, 823713, 1498164, 1793746, 1499425, 3143531, 3081858, 1011126, 321680, 3845431, 3882350, 4396100, 3635680, 2414207, 4080121, 1398375, 1969604, 15850031, 927, 11751905, 22735014, 17355283, 17670105, 6508763]",225,Switzerland,User,,13,3
91,10009633,105,50,"[14142, 56241, 66577, 92322, 104009, 150330, 212984, 227486, 242242, 327019, 354372, 464330, 513813, 514850, 542297, 549365, 748883, 813492, 905434, 963906, 1019875, 1026848, 1106500, 1169522, 1175306, 1223348, 1269143, 1284428, 1351884, 1360604, 1361086, 1411571, 1456490, 1476232, 1520409, 1525924, 1637169, 1683811, 1808854, 1833474, 1896907, 1912777, 1913983, 1982582, 2267900, 2297803, 2503423, 3098889, 3264712, 3346272, 3346692, 3348483, 3404781, 3531999, 3666423, 3771963, 3783096, 3849072, 3887626, 3939305, 4030704, 4088573, 4126838, 4454687, 4469895, 4550173, 4636761, 4874287, 5019523, 5089259, 5144674, 5214214, 5328122, 5353046, 5378647, 5463006, 5657278, 5754972, 5780230, 6140819, 6268322, 6345287, 6649763, 6759734, 6782576, 6947495, 6982439, 7019092, 7036706, 7262715, 7847308, 7941050, 8213947, 8402109, 8597839, 8949716, 10348598, 10704521, 10759713, 11347899, 11516748, 12167762, 13329148, 14830574, 16398479]","[8213947, 5657278, 1332574, 12228667, 5877145, 11595239, 11827742, 10594403, 15994258, 11921460, 15346640, 17576379, 3634386, 10117506, 6948067, 4132647, 17588978, 10859199, 6788732, 7445009, 8830870, 19343341, 10394301, 19979609, 20364143, 10955461, 12438779, 15136721, 22129092, 10456431, 15035925, 8853650, 11270379, 15623368, 11516748, 14830574, 26459234, 24599048, 24787846, 6851386, 21333581, 13497352, 6508763, 16471446, 14251570, 2780145, 25314586, 18711524, 25543784, 13901443]",444,"Hangzhou,Zhejiang",User,Android Developer,39,0
92,10001277,14,4,"[1027, 305282, 820964, 913340, 1672688, 1942359, 1958756, 2440292, 2623954, 3376539, 3880963, 4429794, 4999392, 15860408]","[15860408, 6673982, 1672688, 11600822]",216,Paris,User,So far so good,16,0
93,10041262,0,1,[],[17041001],333,,User,I want to make products that are human-oriented.,11,3
94,1003152,2,20,"[4106831, 12904366]","[2954336, 2121473, 1304987, 5214561, 10789854, 2721112, 4752616, 2529139, 122600, 86942, 2285483, 4393626, 1845905, 11556283, 8191198, 8110621, 23082233, 3076393, 30636161, 14355994]",664,,User,,17,0
95,1001885,5,3,"[82491, 104179, 602683, 871728, 1268887]","[82491, 602683, 1058561]",174,"Ottawa, Ontario",User,,39,0
96,10047883,14,16,"[1667481, 1927507, 11597765, 12864597, 15200774, 19341613, 20314742, 21238991, 24592076, 25741135, 28915948, 30529572, 30565124, 31859103]","[7885923, 31859103, 28915948, 31817357, 34321619, 15200774, 30746291, 34698868, 25741135, 11597765, 31790262, 30529572, 26491325, 21238991, 27460192, 35897773]",111,"Delhi, India",User,Developer with focus on good design.,9,0
97,10001338,1,25,[5885102],"[1219504, 2868858, 11934394, 3029968, 1960594, 606128, 8313239, 5210415, 17999284, 6117724, 18048995, 6503850, 13386703, 9392944, 18106489, 22657333, 2311973, 15350735, 13460053, 617208, 1320747, 26261535, 33515861, 39734354, 23449453]",772,"Tübingen, Germany",User,,4,0
98,10062637,4,53,"[382863, 649467, 3139172, 33708664]","[382863, 15700837, 978919, 15133787, 3764590, 22491050, 26657548, 4594258, 28054074, 3139172, 10864675, 22724358, 20342331, 20387665, 906105, 22869502, 19207556, 7991905, 10140621, 9067135, 13177646, 30170686, 22321977, 23047833, 6984166, 33976121, 22518017, 34528540, 7611912, 22978522, 6417271, 29682864, 32330091, 24236503, 13514583, 15570993, 19209239, 12237503, 18023821, 8708378, 32894249, 17923060, 15070605, 32477868, 18619553, 32131227, 35680347, 23740867, 9639933, 32125074, 8317382, 5858920, 10694629]",157,US,User,PhD in UC Irvine,35,0
99,10075633,8,28,"[3839771, 5208632, 11171902, 18063110, 18133030, 18819192, 24692608, 30003324]","[5208632, 8302956, 30003324, 18063110, 19252487, 24692608, 14107127, 30822283, 11171902, 35415859, 18133030, 18030907, 11909001, 14256139, 5077086, 11642324, 114876, 18487241, 8021872, 13712304, 19724078, 1755489, 17924127, 34679739, 11518387, 7221609, 28622841, 18819192]",549,"Seoul, Korea",User,Not everything has to be useful. Sometimes code can just be fun :D,21,5
